email_address,first_name,last_name,signup_date,status,user_id
user1@example.com,Name1,Last1,2023-07-24 14:07:22.323296,subscribed,UID1
user2@example.com,Name2,Last2,2024-04-19 14:07:22.323296,cleaned,UID2
user3@example.com,Name3,Last3,2024-06-03 14:07:22.323296,subscribed,UID3
user4@example.com,Name4,Last4,2024-01-27 14:07:22.323296,subscribed,UID4
user5@example.com,Name5,Last5,2024-02-11 14:07:22.323296,subscribed,UID5
user6@example.com,Name6,Last6,2024-02-22 14:07:22.323296,subscribed,UID6
user7@example.com,Name7,Last7,2024-04-05 14:07:22.323296,subscribed,UID7
user8@example.com,Name8,Last8,2024-04-24 14:07:22.323296,unsubscribed,UID8
user9@example.com,Name9,Last9,2023-07-05 14:07:22.323296,subscribed,UID9
user10@example.com,Name10,Last10,2023-09-10 14:07:22.323296,subscribed,UID10
user11@example.com,Name11,Last11,2024-05-02 14:07:22.323296,subscribed,UID11
user12@example.com,Name12,Last12,2023-08-18 14:07:22.323296,cleaned,UID12
user13@example.com,Name13,Last13,2023-11-12 14:07:22.323296,subscribed,UID13
user14@example.com,Name14,Last14,2024-05-30 14:07:22.323296,subscribed,UID14
user15@example.com,Name15,Last15,2024-05-31 14:07:22.323296,subscribed,UID15
user16@example.com,Name16,Last16,2024-04-29 14:07:22.323296,subscribed,UID16
user17@example.com,Name17,Last17,2024-02-25 14:07:22.323296,subscribed,UID17
user18@example.com,Name18,Last18,2024-02-17 14:07:22.323296,subscribed,UID18
user19@example.com,Name19,Last19,2023-10-01 14:07:22.323296,subscribed,UID19
user20@example.com,Name20,Last20,2023-08-12 14:07:22.323296,subscribed,UID20
user21@example.com,Name21,Last21,2024-06-02 14:07:22.323296,subscribed,UID21
user22@example.com,Name22,Last22,2023-09-02 14:07:22.323296,subscribed,UID22
user23@example.com,Name23,Last23,2024-03-06 14:07:22.323296,subscribed,UID23
user24@example.com,Name24,Last24,2023-07-19 14:07:22.323296,subscribed,UID24
user25@example.com,Name25,Last25,2023-06-22 14:07:22.323296,subscribed,UID25
user26@example.com,Name26,Last26,2023-09-10 14:07:22.323296,subscribed,UID26
user27@example.com,Name27,Last27,2023-11-14 14:07:22.323296,subscribed,UID27
user28@example.com,Name28,Last28,2024-02-24 14:07:22.323296,subscribed,UID28
user29@example.com,Name29,Last29,2023-10-30 14:07:22.323296,subscribed,UID29
user30@example.com,Name30,Last30,2023-08-19 14:07:22.323296,subscribed,UID30
user31@example.com,Name31,Last31,2024-01-25 14:07:22.323296,subscribed,UID31
user32@example.com,Name32,Last32,2024-06-12 14:07:22.323296,subscribed,UID32
user33@example.com,Name33,Last33,2024-03-26 14:07:22.323296,subscribed,UID33
user34@example.com,Name34,Last34,2023-06-24 14:07:22.323296,unsubscribed,UID34
user35@example.com,Name35,Last35,2023-11-12 14:07:22.323296,cleaned,UID35
user36@example.com,Name36,Last36,2023-12-24 14:07:22.323296,subscribed,UID36
user37@example.com,Name37,Last37,2024-01-25 14:07:22.323296,subscribed,UID37
user38@example.com,Name38,Last38,2024-03-28 14:07:22.323296,subscribed,UID38
user39@example.com,Name39,Last39,2024-02-26 14:07:22.323296,subscribed,UID39
user40@example.com,Name40,Last40,2023-12-26 14:07:22.323296,subscribed,UID40
user41@example.com,Name41,Last41,2024-04-24 14:07:22.323296,subscribed,UID41
user42@example.com,Name42,Last42,2024-04-29 14:07:22.323296,subscribed,UID42
user43@example.com,Name43,Last43,2023-12-04 14:07:22.323296,subscribed,UID43
user44@example.com,Name44,Last44,2024-04-27 14:07:22.323296,unsubscribed,UID44
user45@example.com,Name45,Last45,2023-12-15 14:07:22.323296,subscribed,UID45
user46@example.com,Name46,Last46,2023-12-22 14:07:22.323296,subscribed,UID46
user47@example.com,Name47,Last47,2023-08-11 14:07:22.323296,subscribed,UID47
user48@example.com,Name48,Last48,2024-02-01 14:07:22.323296,subscribed,UID48
user49@example.com,Name49,Last49,2024-05-24 14:07:22.323296,subscribed,UID49
user50@example.com,Name50,Last50,2023-10-24 14:07:22.323296,subscribed,UID50
user51@example.com,Name51,Last51,2023-09-15 14:07:22.323296,cleaned,UID51
user52@example.com,Name52,Last52,2024-04-13 14:07:22.323296,subscribed,UID52
user53@example.com,Name53,Last53,2023-12-05 14:07:22.323296,unsubscribed,UID53
user54@example.com,Name54,Last54,2024-05-06 14:07:22.323296,unsubscribed,UID54
user55@example.com,Name55,Last55,2023-09-07 14:07:22.323296,subscribed,UID55
user56@example.com,Name56,Last56,2024-01-17 14:07:22.323296,unsubscribed,UID56
user57@example.com,Name57,Last57,2023-07-30 14:07:22.323296,subscribed,UID57
user58@example.com,Name58,Last58,2023-08-04 14:07:22.323296,subscribed,UID58
user59@example.com,Name59,Last59,2023-12-13 14:07:22.323296,subscribed,UID59
user60@example.com,Name60,Last60,2023-08-25 14:07:22.323296,subscribed,UID60
user61@example.com,Name61,Last61,2024-03-09 14:07:22.323296,subscribed,UID61
user62@example.com,Name62,Last62,2023-06-21 14:07:22.323296,subscribed,UID62
user63@example.com,Name63,Last63,2024-05-11 14:07:22.323296,subscribed,UID63
user64@example.com,Name64,Last64,2024-05-23 14:07:22.323296,subscribed,UID64
user65@example.com,Name65,Last65,2023-07-13 14:07:22.323296,subscribed,UID65
user66@example.com,Name66,Last66,2024-02-20 14:07:22.323296,subscribed,UID66
user67@example.com,Name67,Last67,2024-01-19 14:07:22.323296,subscribed,UID67
user68@example.com,Name68,Last68,2024-05-06 14:07:22.323296,subscribed,UID68
user69@example.com,Name69,Last69,2024-02-17 14:07:22.323296,subscribed,UID69
user70@example.com,Name70,Last70,2024-04-25 14:07:22.323296,cleaned,UID70
user71@example.com,Name71,Last71,2023-12-04 14:07:22.323296,subscribed,UID71
user72@example.com,Name72,Last72,2024-01-25 14:07:22.323296,subscribed,UID72
user73@example.com,Name73,Last73,2023-10-27 14:07:22.323296,subscribed,UID73
user74@example.com,Name74,Last74,2023-07-26 14:07:22.323296,subscribed,UID74
user75@example.com,Name75,Last75,2023-12-12 14:07:22.323296,subscribed,UID75
user76@example.com,Name76,Last76,2024-03-24 14:07:22.323296,subscribed,UID76
user77@example.com,Name77,Last77,2023-12-09 14:07:22.323296,subscribed,UID77
user78@example.com,Name78,Last78,2023-12-17 14:07:22.323296,subscribed,UID78
user79@example.com,Name79,Last79,2024-02-29 14:07:22.323296,subscribed,UID79
user80@example.com,Name80,Last80,2023-07-08 14:07:22.323296,subscribed,UID80
user81@example.com,Name81,Last81,2024-01-31 14:07:22.323296,unsubscribed,UID81
user82@example.com,Name82,Last82,2023-06-22 14:07:22.323296,subscribed,UID82
user83@example.com,Name83,Last83,2023-07-02 14:07:22.323296,subscribed,UID83
user84@example.com,Name84,Last84,2023-07-20 14:07:22.323296,subscribed,UID84
user85@example.com,Name85,Last85,2024-05-10 14:07:22.323296,subscribed,UID85
user86@example.com,Name86,Last86,2023-08-09 14:07:22.323296,subscribed,UID86
user87@example.com,Name87,Last87,2023-07-26 14:07:22.323296,subscribed,UID87
user88@example.com,Name88,Last88,2024-03-20 14:07:22.323296,subscribed,UID88
user89@example.com,Name89,Last89,2023-09-16 14:07:22.323296,unsubscribed,UID89
user90@example.com,Name90,Last90,2024-02-11 14:07:22.323296,subscribed,UID90
user91@example.com,Name91,Last91,2024-03-24 14:07:22.323296,subscribed,UID91
user92@example.com,Name92,Last92,2023-10-23 14:07:22.323296,subscribed,UID92
user93@example.com,Name93,Last93,2023-12-04 14:07:22.323296,subscribed,UID93
user94@example.com,Name94,Last94,2024-01-29 14:07:22.323296,subscribed,UID94
user95@example.com,Name95,Last95,2023-07-24 14:07:22.323296,subscribed,UID95
user96@example.com,Name96,Last96,2023-06-29 14:07:22.323296,subscribed,UID96
user97@example.com,Name97,Last97,2023-09-04 14:07:22.323296,subscribed,UID97
user98@example.com,Name98,Last98,2024-02-24 14:07:22.323296,subscribed,UID98
user99@example.com,Name99,Last99,2023-07-01 14:07:22.323296,subscribed,UID99
user100@example.com,Name100,Last100,2024-01-01 14:07:22.323296,subscribed,UID100
user101@example.com,Name101,Last101,2024-05-18 14:07:22.323296,subscribed,UID101
user102@example.com,Name102,Last102,2024-02-19 14:07:22.323296,subscribed,UID102
user103@example.com,Name103,Last103,2024-05-30 14:07:22.323296,subscribed,UID103
user104@example.com,Name104,Last104,2024-01-06 14:07:22.323296,subscribed,UID104
user105@example.com,Name105,Last105,2023-11-23 14:07:22.323296,unsubscribed,UID105
user106@example.com,Name106,Last106,2024-01-30 14:07:22.323296,subscribed,UID106
user107@example.com,Name107,Last107,2024-05-13 14:07:22.323296,subscribed,UID107
user108@example.com,Name108,Last108,2024-02-28 14:07:22.323296,subscribed,UID108
user109@example.com,Name109,Last109,2023-08-30 14:07:22.323296,subscribed,UID109
user110@example.com,Name110,Last110,2024-01-06 14:07:22.323296,subscribed,UID110
user111@example.com,Name111,Last111,2024-02-28 14:07:22.323296,subscribed,UID111
user112@example.com,Name112,Last112,2023-07-16 14:07:22.323296,subscribed,UID112
user113@example.com,Name113,Last113,2023-10-04 14:07:22.323296,unsubscribed,UID113
user114@example.com,Name114,Last114,2023-11-26 14:07:22.323296,subscribed,UID114
user115@example.com,Name115,Last115,2023-07-22 14:07:22.323296,subscribed,UID115
user116@example.com,Name116,Last116,2023-10-25 14:07:22.323296,unsubscribed,UID116
user117@example.com,Name117,Last117,2024-04-03 14:07:22.323296,subscribed,UID117
user118@example.com,Name118,Last118,2024-02-01 14:07:22.323296,subscribed,UID118
user119@example.com,Name119,Last119,2024-04-05 14:07:22.323296,unsubscribed,UID119
user120@example.com,Name120,Last120,2024-02-10 14:07:22.323296,subscribed,UID120
user121@example.com,Name121,Last121,2023-09-02 14:07:22.323296,subscribed,UID121
user122@example.com,Name122,Last122,2023-09-14 14:07:22.323296,unsubscribed,UID122
user123@example.com,Name123,Last123,2024-02-02 14:07:22.323296,subscribed,UID123
user124@example.com,Name124,Last124,2023-08-21 14:07:22.323296,subscribed,UID124
user125@example.com,Name125,Last125,2023-11-09 14:07:22.323296,subscribed,UID125
user126@example.com,Name126,Last126,2023-08-22 14:07:22.323296,subscribed,UID126
user127@example.com,Name127,Last127,2023-11-24 14:07:22.323296,subscribed,UID127
user128@example.com,Name128,Last128,2023-12-13 14:07:22.323296,unsubscribed,UID128
user129@example.com,Name129,Last129,2024-02-24 14:07:22.323296,subscribed,UID129
user130@example.com,Name130,Last130,2024-04-06 14:07:22.323296,subscribed,UID130
user131@example.com,Name131,Last131,2023-09-29 14:07:22.323296,subscribed,UID131
user132@example.com,Name132,Last132,2023-10-07 14:07:22.323296,subscribed,UID132
user133@example.com,Name133,Last133,2024-04-30 14:07:22.323296,subscribed,UID133
user134@example.com,Name134,Last134,2024-05-22 14:07:22.323296,subscribed,UID134
user135@example.com,Name135,Last135,2024-04-20 14:07:22.323296,unsubscribed,UID135
user136@example.com,Name136,Last136,2024-03-29 14:07:22.323296,subscribed,UID136
user137@example.com,Name137,Last137,2023-07-30 14:07:22.323296,subscribed,UID137
user138@example.com,Name138,Last138,2024-03-26 14:07:22.323296,subscribed,UID138
user139@example.com,Name139,Last139,2023-07-03 14:07:22.323296,subscribed,UID139
user140@example.com,Name140,Last140,2023-11-12 14:07:22.323296,cleaned,UID140
user141@example.com,Name141,Last141,2023-08-15 14:07:22.323296,cleaned,UID141
user142@example.com,Name142,Last142,2024-05-14 14:07:22.323296,subscribed,UID142
user143@example.com,Name143,Last143,2023-12-01 14:07:22.323296,subscribed,UID143
user144@example.com,Name144,Last144,2023-12-03 14:07:22.323296,subscribed,UID144
user145@example.com,Name145,Last145,2023-08-15 14:07:22.323296,subscribed,UID145
user146@example.com,Name146,Last146,2023-10-20 14:07:22.323296,subscribed,UID146
user147@example.com,Name147,Last147,2023-09-19 14:07:22.323296,subscribed,UID147
user148@example.com,Name148,Last148,2024-02-08 14:07:22.323296,subscribed,UID148
user149@example.com,Name149,Last149,2023-09-06 14:07:22.323296,subscribed,UID149
user150@example.com,Name150,Last150,2024-06-10 14:07:22.323296,subscribed,UID150
user151@example.com,Name151,Last151,2023-07-03 14:07:22.323296,unsubscribed,UID151
user152@example.com,Name152,Last152,2024-04-18 14:07:22.323296,subscribed,UID152
user153@example.com,Name153,Last153,2023-07-02 14:07:22.323296,subscribed,UID153
user154@example.com,Name154,Last154,2023-09-15 14:07:22.323296,subscribed,UID154
user155@example.com,Name155,Last155,2024-01-31 14:07:22.323296,cleaned,UID155
user156@example.com,Name156,Last156,2023-07-23 14:07:22.323296,subscribed,UID156
user157@example.com,Name157,Last157,2023-12-24 14:07:22.323296,subscribed,UID157
user158@example.com,Name158,Last158,2024-04-19 14:07:22.323296,subscribed,UID158
user159@example.com,Name159,Last159,2024-01-17 14:07:22.323296,subscribed,UID159
user160@example.com,Name160,Last160,2023-11-06 14:07:22.323296,subscribed,UID160
user161@example.com,Name161,Last161,2024-03-27 14:07:22.323296,subscribed,UID161
user162@example.com,Name162,Last162,2023-10-27 14:07:22.323296,subscribed,UID162
user163@example.com,Name163,Last163,2024-06-14 14:07:22.323296,subscribed,UID163
user164@example.com,Name164,Last164,2024-02-02 14:07:22.323296,subscribed,UID164
user165@example.com,Name165,Last165,2023-10-03 14:07:22.323296,subscribed,UID165
user166@example.com,Name166,Last166,2024-03-16 14:07:22.323296,subscribed,UID166
user167@example.com,Name167,Last167,2023-09-30 14:07:22.323296,subscribed,UID167
user168@example.com,Name168,Last168,2024-04-22 14:07:22.323296,subscribed,UID168
user169@example.com,Name169,Last169,2023-07-31 14:07:22.323296,subscribed,UID169
user170@example.com,Name170,Last170,2024-01-15 14:07:22.323296,subscribed,UID170
user171@example.com,Name171,Last171,2023-07-24 14:07:22.323296,subscribed,UID171
user172@example.com,Name172,Last172,2023-09-30 14:07:22.323296,subscribed,UID172
user173@example.com,Name173,Last173,2023-08-09 14:07:22.323296,subscribed,UID173
user174@example.com,Name174,Last174,2024-03-06 14:07:22.323296,subscribed,UID174
user175@example.com,Name175,Last175,2024-03-29 14:07:22.323296,subscribed,UID175
user176@example.com,Name176,Last176,2023-12-07 14:07:22.323296,subscribed,UID176
user177@example.com,Name177,Last177,2024-03-25 14:07:22.323296,subscribed,UID177
user178@example.com,Name178,Last178,2023-09-13 14:07:22.323296,subscribed,UID178
user179@example.com,Name179,Last179,2023-09-18 14:07:22.323296,unsubscribed,UID179
user180@example.com,Name180,Last180,2024-06-15 14:07:22.323296,subscribed,UID180
user181@example.com,Name181,Last181,2023-08-14 14:07:22.323296,subscribed,UID181
user182@example.com,Name182,Last182,2024-01-02 14:07:22.323296,subscribed,UID182
user183@example.com,Name183,Last183,2023-10-09 14:07:22.323296,unsubscribed,UID183
user184@example.com,Name184,Last184,2024-06-06 14:07:22.323296,unsubscribed,UID184
user185@example.com,Name185,Last185,2024-04-19 14:07:22.323296,subscribed,UID185
user186@example.com,Name186,Last186,2023-12-13 14:07:22.323296,subscribed,UID186
user187@example.com,Name187,Last187,2024-01-10 14:07:22.323296,subscribed,UID187
user188@example.com,Name188,Last188,2024-02-14 14:07:22.323296,subscribed,UID188
user189@example.com,Name189,Last189,2024-05-17 14:07:22.323296,subscribed,UID189
user190@example.com,Name190,Last190,2024-02-13 14:07:22.323296,subscribed,UID190
user191@example.com,Name191,Last191,2023-08-30 14:07:22.323296,subscribed,UID191
user192@example.com,Name192,Last192,2024-05-06 14:07:22.323296,unsubscribed,UID192
user193@example.com,Name193,Last193,2024-05-03 14:07:22.323296,unsubscribed,UID193
user194@example.com,Name194,Last194,2023-10-11 14:07:22.323296,subscribed,UID194
user195@example.com,Name195,Last195,2024-05-11 14:07:22.323296,subscribed,UID195
user196@example.com,Name196,Last196,2023-09-17 14:07:22.323296,subscribed,UID196
user197@example.com,Name197,Last197,2024-04-12 14:07:22.323296,subscribed,UID197
user198@example.com,Name198,Last198,2024-04-11 14:07:22.323296,unsubscribed,UID198
user199@example.com,Name199,Last199,2023-07-14 14:07:22.323296,unsubscribed,UID199
user200@example.com,Name200,Last200,2023-10-16 14:07:22.323296,subscribed,UID200
user201@example.com,Name201,Last201,2023-09-08 14:07:22.323296,subscribed,UID201
user202@example.com,Name202,Last202,2024-03-23 14:07:22.323296,subscribed,UID202
user203@example.com,Name203,Last203,2024-02-01 14:07:22.323296,subscribed,UID203
user204@example.com,Name204,Last204,2023-09-19 14:07:22.323296,unsubscribed,UID204
user205@example.com,Name205,Last205,2023-08-10 14:07:22.323296,subscribed,UID205
user206@example.com,Name206,Last206,2023-11-12 14:07:22.323296,subscribed,UID206
user207@example.com,Name207,Last207,2024-02-28 14:07:22.323296,subscribed,UID207
user208@example.com,Name208,Last208,2023-09-13 14:07:22.323296,subscribed,UID208
user209@example.com,Name209,Last209,2023-06-28 14:07:22.323296,subscribed,UID209
user210@example.com,Name210,Last210,2024-03-05 14:07:22.323296,subscribed,UID210
user211@example.com,Name211,Last211,2023-06-16 14:07:22.323296,subscribed,UID211
user212@example.com,Name212,Last212,2024-01-08 14:07:22.323296,subscribed,UID212
user213@example.com,Name213,Last213,2023-11-24 14:07:22.323296,subscribed,UID213
user214@example.com,Name214,Last214,2023-07-08 14:07:22.323296,subscribed,UID214
user215@example.com,Name215,Last215,2023-07-19 14:07:22.323296,subscribed,UID215
user216@example.com,Name216,Last216,2023-12-07 14:07:22.323296,subscribed,UID216
user217@example.com,Name217,Last217,2023-11-04 14:07:22.323296,subscribed,UID217
user218@example.com,Name218,Last218,2023-09-25 14:07:22.323296,subscribed,UID218
user219@example.com,Name219,Last219,2023-10-28 14:07:22.323296,subscribed,UID219
user220@example.com,Name220,Last220,2024-04-15 14:07:22.323296,subscribed,UID220
user221@example.com,Name221,Last221,2024-02-10 14:07:22.323296,subscribed,UID221
user222@example.com,Name222,Last222,2024-02-21 14:07:22.323296,subscribed,UID222
user223@example.com,Name223,Last223,2024-05-14 14:07:22.323296,subscribed,UID223
user224@example.com,Name224,Last224,2023-12-25 14:07:22.323296,subscribed,UID224
user225@example.com,Name225,Last225,2024-06-05 14:07:22.323296,subscribed,UID225
user226@example.com,Name226,Last226,2023-08-19 14:07:22.323296,subscribed,UID226
user227@example.com,Name227,Last227,2023-09-06 14:07:22.323296,cleaned,UID227
user228@example.com,Name228,Last228,2024-02-19 14:07:22.323296,subscribed,UID228
user229@example.com,Name229,Last229,2023-08-19 14:07:22.323296,unsubscribed,UID229
user230@example.com,Name230,Last230,2024-02-24 14:07:22.323296,subscribed,UID230
user231@example.com,Name231,Last231,2024-06-12 14:07:22.323296,subscribed,UID231
user232@example.com,Name232,Last232,2024-05-10 14:07:22.323296,subscribed,UID232
